statements,status
It's Monday. I feel like I'm going to have a good week.,happy
I'm so grateful to have such a wonderful mother. I love her so much.,happy
"I am not sure if I should tell you this, but I have been looking at you lately.",sad
I can't believe I've been on this diet for 2 weeks and I haven't lost a single pound!,sad
"I took a shower today for the first time in 3 days. I was so gross. It goes without saying, I was so gross.",happy
I'm not sure if I can do this.,sad
"I have been trying to make this work, and I think I have hit a dead end. I have been trying to find a way to do it, but I have not found a way to do it. I have been trying to find a way to make this work.",sad
I can't seem to think straight.,sad
I'm so happy that I have this journal to write in. It's been a real lifesaver for me over the past few months. I don't know what I would have done without it.,happy
I'm always happy when I see other women succeed.,happy
I don't want to spend one more day in this hell hole.,sad
I am not sure what to do. My boyfriend is so mean to me and I don't know how to deal with it.,sad
I'm exhausted.,happy
I'm so glad I found a man who wants to take care of me.,happy
I'm so proud of myself for getting this far. I'm finally starting to feel like I'm on the right track.,sad
I'm so excited for my first date with John! I just hope everything goes well.,happy
I'm so glad that I have a man who loves me and I love him.,happy
I don't know how I'm going to do this. I can't believe I'm in this situation. I need to get out of here.,sad
I'm not sure if I'll ever find the man of my dreams.,sad
I am glad you are my mom. You are my very best friend. You are always there for me even when I don't know it.,happy
I hate my job.,sad
I am so happy to be alive.,happy
I'm not sure what to do with my life. I'm not sure I want to continue living.,sad
I wish I could just sleep and not have to worry about anything.,sad
It won't be easy for me to get over this.,sad
What in the world is my life?,sad
I am so tired of cleaning up after him.,sad
Today was a good day. I got to spend some time with my friends and we had a lot of fun. I'm really looking forward to the rest of the week.,happy
I'm not sure what to do about this.,sad
I'm still trying to get used to all of the changes that have happened in the last few weeks. I guess it's good that I'm finally starting to feel like myself again..,happy
I hope you're well-rested and ready to get back to it all tomorrow.,happy
I am very sad because he left me.,sad
They say you never know what you're going to get when it comes to a man.,sad
I'm so happy that I'm finally getting to meet my new friend.,happy
I wonder what the future holds for me.,sad
"I'm trying to buy new jeans, but I'm having so much trouble finding a pair that fit right.",sad
"I wish I could get up in the morning and be a good wife and mother, but I just can't.",sad
How much I love my husband,happy
The only person who can help me feel better is me.,happy
I have been thinking about you lately and I wish I could see you again. I miss you so much. I hope that we can get together soon.,happy
This diary entry is for a woman in her 30s who has been struggling with depression. She writes about how she feels like her life is stuck in a rut and that she doesn't know what to do with herself.,happy
I'm glad I didn't go out. I'm really tired.,happy
I love you so much.,happy
I feel like I am stuck in a rut. I don't know what to do with my life.,sad
I was so excited when I got home tonight and saw the box in the entry way. I opened it up and found the exact same dress that I had been looking for for weeks.,happy
I'm not sure what to do now. I'm not sure what I want to do.,sad
I'm so glad he's home.,happy
I have a bad feeling about this whole thing.,sad
I hope I never lose that feeling...,happy
I'm so excited for my first day of kindergarten tomorrow! I can't wait to see my friends and play on the playground.,happy
"I'm feeling like I'm not good enough today. I don't know what to do, but I feel like I can't do anything right.",sad
Couldn't believe I forgot that today is my birthday.,sad
I have to admit that I have not been the best friend lately. I have been so busy with work and other things that I have not been as available as I would like to be. I'm sorry for that.,happy
"I canâ€™t believe itâ€™s raining again, I went to the store and it was pouring. I donâ€™t get it.",sad
I need to go to the library.,sad
"I've been working so hard lately, and I'm starting to feel really overwhelmed. I don't know how much longer I can keep up this pace.",sad
I am feeling happy and content with my life right now.,happy
I'm so tired. I feel like I have no energy. I need to get some rest.,sad
I love my baby so much.,happy
My life has been too quiet lately. I think it's time for some changes.,sad
"It's a paradox, but it's true. The more you try to find something meaningful in your life, the more you realize how meaningless everything is.",sad
"I am a strong supporter of women's rights, and I have been very involved in the fight for gender equality.",sad
I am so exhausted today. I don't know how I'm going to make it through the day.,sad
255.55,sad
I'm so stressed out. The kids are driving me crazy.,sad
I'm not sure how I feel about this relationship.,happy
"I'm trying to understand what I feel, but I can't find the words. I just feel sad and lost.",sad
I wish I had more motivation to get things done today.,sad
"I feel like I am living in a dream world, but I am not sure if it is a good one or a bad one.",happy
"That was a great day. No work, just having fun with friends.",happy
"He's so far away from me, and I wish he would come back.",sad
I feel so tired today. I want to stay in bed and sleep all day.,sad
I'm so lonely. I feel like I'm the only person in the world.,sad
"I love you, but I can't be with you because I'm not sure if I want to be with anyone else.",sad
I'm so afraid of being alone.,happy
"I'm hoping to get an invitation to the school's final dance. I don't think that I will have a date, but maybe I can go with the girls.",happy
I'm so tired of being the only one who cares about this relationship.,sad
"My life is far from perfect, but I can't say that it's bad.",happy
I can't believe I am going to be a mother.,happy
I am so tired. I have been up since 5:00 this morning and I still have so much to do.,happy
I've been so busy lately that I haven't had a chance to really sit and think about things.,sad
I feel sad today.,sad
I am so glad that I met you. You are such a special person to me.,happy
I'm not sure what to do with my life anymore. It seems like everything I've been working towards has been taken away from me in one swift blow. I can't seem to find any motivation to keep going.,sad
I felt so great today.,happy
