Age Group,Sleep Hours,Work Hours,Physical Activities,Mental State,Severity,Recommendations
15-19,<6,<6,walk,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,walk,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,walk,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,walk,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,walk,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,walk,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,walk,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,walk,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,walk,Sexual and Reproduction Issues,Low,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,walk,Anxiety,High,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,walk,Anxiety,Medium,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,walk,Anxiety,Low,"['Practice deep breathing exercises daily.', 'Engage in mindfulness meditation.', 'Exercise regularly to reduce stress.', 'Avoid excessive caffeine or sugar intake.', 'Develop a consistent sleep schedule.']"
15-19,<6,<6,walk,Hormonal Changes,High,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,walk,Hormonal Changes,Medium,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,walk,Hormonal Changes,Low,"['Maintain a balanced diet rich in nutrients.', 'Exercise regularly to manage hormonal fluctuations.', 'Get sufficient sleep to regulate hormones.', 'Avoid excessive stress through mindfulness techniques.', 'Consult a doctor for hormonal therapy if needed.']"
15-19,<6,<6,walk,Body Image,High,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,walk,Body Image,Medium,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,walk,Body Image,Low,"['Avoid comparing yourself to others on social media.', 'Focus on the strengths and capabilities of your body.', 'Wear clothes that make you feel confident.', 'Surround yourself with positive and supportive people.', 'Engage in physical activities you enjoy.']"
15-19,<6,<6,walk,Eating Disorder,High,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,walk,Eating Disorder,Medium,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,walk,Eating Disorder,Low,"['Seek professional help from a dietitian or therapist.', 'Develop a regular eating schedule.', ""Avoid labeling foods as 'good' or 'bad.'"", 'Practice mindful eating without distractions.', 'Join support groups for eating disorder recovery.']"
15-19,<6,<6,walk,Depression,High,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,walk,Depression,Medium,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,walk,Depression,Low,"['Reach out to a trusted friend or family member.', 'Consider therapy with a licensed counselor.', 'Engage in activities you once enjoyed.', 'Establish a routine to bring structure to your day.', 'Avoid isolation by joining community events.']"
15-19,<6,<6,walk,Suicidal Thoughts,High,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,walk,Suicidal Thoughts,Medium,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,walk,Suicidal Thoughts,Low,"['Contact a crisis hotline immediately.', 'Talk to a trusted family member or friend.', 'Remove access to harmful objects or substances.', 'Seek professional mental health support.', 'Engage in mindfulness to calm intrusive thoughts.']"
15-19,<6,<6,run,Relationship and Family Issues,High,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,run,Relationship and Family Issues,Medium,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,run,Relationship and Family Issues,Low,"['Communicate openly with family members.', 'Consider family counseling.', 'Set clear boundaries in relationships.', 'Practice active listening in conversations.', 'Spend quality time with loved ones.']"
15-19,<6,<6,run,Family Dynamics,High,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,run,Family Dynamics,Medium,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,run,Family Dynamics,Low,"['Plan family activities to strengthen bonds.', 'Encourage family meetings to discuss issues.', 'Respect individual opinions within the family.', 'Teach children about empathy and understanding.', 'Develop a routine to spend time together.']"
15-19,<6,<6,run,Sexual and Reproduction Issues,High,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
15-19,<6,<6,run,Sexual and Reproduction Issues,Medium,"['Consult a qualified medical professional.', 'Educate yourself on reproductive health.', 'Practice safe sex methods.', 'Seek support groups for sexual health issues.', 'Discuss concerns openly with a partner.']"
